oc_id,proveedor_id,proveedor,pais_origen,moneda,categoria,fecha_orden,fecha_entrega_esperada,fecha_entrega_real,lead_time_dias,estado,valor_usd,valor_cop,productos,n_skus
OC-500,PRO-015,PeroxyChem,EEUU,USD,Sabores & Colorantes,2026-08-15,2026-09-16,,32,En tránsito,40304.0,169276800,Sabor artificial vainilla,1
OC-501,PRO-002,DSM Nutritional,Países Bajos,EUR,Cárnicos,2026-06-09,2026-08-06,2026-08-12,58,Recibida,66884.0,280912800,Almidón de papa para cárnicos | Goma xantana | DATEM emulsificante pan | Condimento mortadela premium,4
OC-502,PRO-007,IFF Colombia,Colombia,COP,Cárnicos,2026-08-04,2026-08-21,2026-08-25,17,Recibida,83496.0,350683200,Agar Salmonella-Shigella | Detergente alcalino CIP-100 | Eritorbato de sodio | Nitrito de sodio 99%,4
OC-503,PRO-013,Ecolab Colombia,Colombia,COP,Aseo & Desinfección,2026-07-05,2026-07-16,2026-07-18,11,Recibida,52445.0,220269000,Sucralosa | Alcohol etílico 96°,2
OC-504,PRO-011,Chr. Hansen,Dinamarca,EUR,Aseo & Desinfección,2026-08-17,2026-09-18,,32,En tránsito,10513.0,44154600,Cuajo Marschall® pastilla | Alcohol etílico 96°,2
OC-505,PRO-010,Lesaffre,Francia,EUR,Cárnicos,2026-06-21,2026-07-08,2026-07-15,17,Recibida,55815.0,234423000,Sabor natural durazno | Proteína de soya texturizada,2
OC-506,PRO-006,Givaudan Colombia,Colombia,COP,Aseo & Desinfección,2026-05-29,2026-06-13,2026-06-20,15,Recibida,6641.0,27892200,Hipoclorito de sodio 15% | Yomix® 883 (yogurt),2
OC-507,PRO-012,Ingredion Colombia,Colombia,COP,Cárnicos,2026-08-03,2026-08-15,2026-08-21,12,Recibida,15403.0,64692600,Almidón de papa para cárnicos | Choozit® MM 100,2
OC-508,PRO-003,Kerry Group,Irlanda,USD,Cárnicos,2026-07-30,2026-09-14,,46,En tránsito,85795.0,360339000,Cloruro de calcio alimentario | Almidón de papa para cárnicos | Sabor artificial vainilla | Monoglicérido destilado,4
OC-509,PRO-001,BASF SE,Alemania,EUR,Cárnicos,2026-07-07,2026-08-19,2026-08-23,43,Recibida,71900.0,301980000,Proteína aislada de soya 90% | Prueba rápida coliformes,2
OC-510,PRO-008,Merck KGaA,Alemania,EUR,Aseo & Desinfección,2026-07-12,2026-08-29,,48,En aduana,85028.0,357117600,Propionato de calcio | Detergente alcalino CIP-100 | Choozit® MM 100,3
OC-511,PRO-001,BASF SE,Alemania,EUR,Lácteos,2026-06-20,2026-07-20,2026-07-26,30,Recibida,31579.0,132631800,Cuajo Chymostar® líquido,1
