fecha,mes,cliente_id,cliente,sector_cliente,producto_id,producto,categoria,sede_id,cantidad,unidad,precio_unitario,descuento_pct,total_cop,margen_pct
2025-01-01,2025-01,CLI-005,Lácteos El Recreo,Lácteos,LAC-009,Nisaplin® (Nisin A),Lácteos,BOG-QUI,103.1,kg,571022,0.0,58872335,0.327
2025-01-01,2025-01,CLI-005,Lácteos El Recreo,Lácteos,LAC-007,Lactogel® FX 7720,Lácteos,SIB,86.3,kg,123638,0.0,10669997,0.333
2025-01-01,2025-01,CLI-010,Frigorífico Guadalupe,Cárnicos,CAR-008,Almidón de papa para cárnicos,Cárnicos,BOG-QUI,111.2,kg,10238,0.02,1115671,0.363
2025-01-01,2025-01,CLI-019,Centro Análisis ALF,Laboratorio,LAB-004,Agar Salmonella-Shigella,Laboratorio,BOG-QUI,11.9,500g,283130,0.02,3301866,0.328
2025-01-01,2025-01,CLI-001,Alquería S.A.,Lácteos,LAC-009,Nisaplin® (Nisin A),Lácteos,ITA,91.2,kg,545840,0.05,47291572,0.327
2025-01-01,2025-01,CLI-003,Alpina S.A.,Lácteos,LAC-010,Cloruro de calcio alimentario,Lácteos,MOS,91.4,kg,13926,0.0,1272797,0.401
2025-01-01,2025-01,CLI-006,Procesadora Meta Lácteos,Lácteos,SAB-009,Goma xantana,Sabores & Colorantes,BOG-AME,82.2,kg,64060,0.05,5002414,0.333
2025-01-01,2025-01,CLI-001,Alquería S.A.,Lácteos,SAB-004,Colorante caramelo IV,Sabores & Colorantes,BOG-AME,10.0,kg,26450,0.0,264497,0.339
2025-01-01,2025-01,CLI-022,Avícola Los Llanos,Cárnicos,SAB-007,Stevia RA97,Sabores & Colorantes,BOG-QUI,28.0,kg,216521,0.0,6062596,0.326
2025-01-01,2025-01,CLI-013,Noel S.A.S.,Panadería,PAN-001,Levadura seca instantánea,Panadería,TUN,12.5,kg,19536,0.02,239312,0.342
2025-01-01,2025-01,CLI-021,Hotel Las Américas,Aseo & Desinfección,ASE-005,Amonio cuaternario QAT-50,Aseo & Desinfección,BOG-QUI,35.3,litro,33288,0.0,1175063,0.333
2025-01-01,2025-01,CLI-021,Hotel Las Américas,Aseo & Desinfección,ASE-002,Alcohol etílico 96°,Aseo & Desinfección,BOG-AME,95.8,litro,10568,0.0,1012369,0.381
2025-01-01,2025-01,CLI-010,Frigorífico Guadalupe,Cárnicos,CAR-009,Sal Refisal® curación,Cárnicos,TUN,55.6,kg,5765,0.0,320525,0.448
2025-01-01,2025-01,CLI-007,La Carreta Alimentos,Cárnicos,CAR-010,Nitrito de sodio 99%,Cárnicos,BOG-AME,78.8,kg,26824,0.0,2113730,0.333
2025-01-01,2025-01,CLI-003,Alpina S.A.,Lácteos,LAC-003,Choozit® MA 4001,Lácteos,ITA,66.8,dosis,272992,0.0,18235843,0.327
2025-01-02,2025-01,CLI-005,Lácteos El Recreo,Lácteos,LAC-002,Cuajo Marschall® pastilla,Lácteos,BOG-QUI,26.5,sobre,18003,0.02,467525,0.351
2025-01-02,2025-01,CLI-011,Frigoríficos El Progreso,Cárnicos,SAB-008,Ácido cítrico anhidro,Sabores & Colorantes,BOG-AME,102.8,kg,11977,0.0,1231245,0.376
2025-01-02,2025-01,CLI-011,Frigoríficos El Progreso,Cárnicos,CAR-008,Almidón de papa para cárnicos,Cárnicos,ITA,94.2,kg,10265,0.0,966952,0.363
2025-01-02,2025-01,CLI-011,Frigoríficos El Progreso,Cárnicos,SAB-005,Colorante curcumina natural,Sabores & Colorantes,TUN,40.7,kg,135097,0.0,5498464,0.345
2025-01-02,2025-01,CLI-018,Laboratorios LABOFARMA,Laboratorio,LAB-001,Agar PCA recuento total,Laboratorio,BOG-QUI,20.1,500g,270912,0.0,5445338,0.327
2025-01-02,2025-01,CLI-006,Procesadora Meta Lácteos,Lácteos,SAB-004,Colorante caramelo IV,Sabores & Colorantes,VIL,20.7,kg,26858,0.0,555950,0.339
2025-01-02,2025-01,CLI-010,Frigorífico Guadalupe,Cárnicos,CAR-002,Eritorbato de sodio,Cárnicos,BOG-QUI,11.4,kg,20577,0.05,222854,0.341
2025-01-02,2025-01,CLI-014,Pan Pa' Ya,Panadería,PAN-008,Monoglicérido destilado,Panadería,MOS,55.4,kg,33472,0.0,1854336,0.344
2025-01-02,2025-01,CLI-020,Sodexo Colombia,Aseo & Desinfección,ASE-006,Cepillo VIKAN higiene azul,Aseo & Desinfección,VIL,54.4,unidad,55413,0.0,3014451,0.345
2025-01-02,2025-01,CLI-009,Rica Rondo S.A.,Cárnicos,CAR-006,Proteína de soya texturizada,Cárnicos,MOS,84.7,kg,13917,0.0,1178747,0.345
2025-01-02,2025-01,CLI-007,La Carreta Alimentos,Cárnicos,SAB-007,Stevia RA97,Sabores & Colorantes,BOG-AME,102.9,kg,219001,0.0,22535164,0.326
2025-01-02,2025-01,CLI-010,Frigorífico Guadalupe,Cárnicos,CAR-005,Condimento mortadela premium,Cárnicos,BOG-QUI,17.6,kg,108484,0.0,1909316,0.333
2025-01-02,2025-01,CLI-011,Frigoríficos El Progreso,Cárnicos,CAR-005,Condimento mortadela premium,Cárnicos,BOG-QUI,5.9,kg,106296,0.0,627144,0.333
2025-01-02,2025-01,CLI-013,Noel S.A.S.,Panadería,SAB-008,Ácido cítrico anhidro,Sabores & Colorantes,BOG-AME,21.8,kg,11777,0.03,249041,0.376
2025-01-02,2025-01,CLI-012,Bimbo Colombia,Panadería,PAN-005,DATEM emulsificante pan,Panadería,ITA,42.2,kg,27413,0.0,1156808,0.345
2025-01-02,2025-01,CLI-020,Sodexo Colombia,Aseo & Desinfección,ASE-004,Ácido peracético 15%,Aseo & Desinfección,SIB,56.5,litro,39092,0.0,2208681,0.333
2025-01-02,2025-01,CLI-021,Hotel Las Américas,Aseo & Desinfección,ASE-006,Cepillo VIKAN higiene azul,Aseo & Desinfección,ITA,112.6,unidad,57671,0.0,6493735,0.345
2025-01-02,2025-01,CLI-018,Laboratorios LABOFARMA,Laboratorio,LAB-002,Agar VRBD coliformes,Laboratorio,BOG-AME,65.8,500g,283347,0.0,18644230,0.328
2025-01-02,2025-01,CLI-012,Bimbo Colombia,Panadería,PAN-002,Mejorizador panadera CM-5,Panadería,TUN,107.6,kg,27209,0.0,2927660,0.345
2025-01-02,2025-01,CLI-020,Sodexo Colombia,Aseo & Desinfección,ASE-005,Amonio cuaternario QAT-50,Aseo & Desinfección,BOG-AME,15.1,litro,33189,0.0,501153,0.333
2025-01-02,2025-01,CLI-019,Centro Análisis ALF,Laboratorio,LAB-004,Agar Salmonella-Shigella,Laboratorio,VIL,13.8,500g,316920,0.0,4373494,0.328
2025-01-03,2025-01,CLI-006,Procesadora Meta Lácteos,Lácteos,SAB-006,Sucralosa,Sabores & Colorantes,ITA,45.1,kg,190156,0.02,8404534,0.324
2025-01-03,2025-01,CLI-020,Sodexo Colombia,Aseo & Desinfección,ASE-002,Alcohol etílico 96°,Aseo & Desinfección,BOG-AME,76.5,litro,10363,0.0,792774,0.381
2025-01-03,2025-01,CLI-011,Frigoríficos El Progreso,Cárnicos,SAB-002,Sabor natural fresa premium,Sabores & Colorantes,MOS,20.5,kg,87955,0.0,1803070,0.347
2025-01-03,2025-01,CLI-014,Pan Pa' Ya,Panadería,PAN-003,Propionato de calcio,Panadería,SIB,11.8,kg,25895,0.02,299451,0.34
2025-01-03,2025-01,CLI-013,Noel S.A.S.,Panadería,PAN-002,Mejorizador panadera CM-5,Panadería,ITA,38.5,kg,29590,0.0,1139234,0.345
2025-01-03,2025-01,CLI-010,Frigorífico Guadalupe,Cárnicos,CAR-002,Eritorbato de sodio,Cárnicos,BOG-QUI,88.6,kg,20991,0.03,1803977,0.341
2025-01-03,2025-01,CLI-006,Procesadora Meta Lácteos,Lácteos,SAB-001,Sabor artificial vainilla,Sabores & Colorantes,BOG-AME,15.6,kg,77103,0.0,1202812,0.36
2025-01-03,2025-01,CLI-009,Rica Rondo S.A.,Cárnicos,SAB-004,Colorante caramelo IV,Sabores & Colorantes,BOG-AME,86.6,kg,26475,0.0,2292737,0.339
2025-01-03,2025-01,CLI-014,Pan Pa' Ya,Panadería,PAN-001,Levadura seca instantánea,Panadería,VIL,116.6,kg,18717,0.0,2182382,0.342
2025-01-03,2025-01,CLI-021,Hotel Las Américas,Aseo & Desinfección,ASE-003,Detergente alcalino CIP-100,Aseo & Desinfección,BOG-AME,34.2,kg,27219,0.0,930876,0.333
2025-01-03,2025-01,CLI-007,La Carreta Alimentos,Cárnicos,CAR-008,Almidón de papa para cárnicos,Cárnicos,ITA,83.6,kg,10155,0.0,848921,0.363
2025-01-03,2025-01,CLI-006,Procesadora Meta Lácteos,Lácteos,LAC-010,Cloruro de calcio alimentario,Lácteos,TUN,11.0,kg,13306,0.0,146365,0.401
2025-01-03,2025-01,CLI-003,Alpina S.A.,Lácteos,LAC-010,Cloruro de calcio alimentario,Lácteos,MOS,48.3,kg,13620,0.0,657824,0.401
2025-01-03,2025-01,CLI-011,Frigoríficos El Progreso,Cárnicos,SAB-009,Goma xantana,Sabores & Colorantes,ITA,63.0,kg,65534,0.0,4128653,0.333
2025-01-03,2025-01,CLI-004,Gloria Colombia,Lácteos,LAC-001,Cuajo Chymostar® líquido,Lácteos,ITA,76.4,litro,132595,0.0,10130248,0.331
2025-01-03,2025-01,CLI-021,Hotel Las Américas,Aseo & Desinfección,ASE-004,Ácido peracético 15%,Aseo & Desinfección,BOG-QUI,20.7,litro,43734,0.02,887194,0.333
2025-01-03,2025-01,CLI-006,Procesadora Meta Lácteos,Lácteos,SAB-010,Pectina HM cítrica,Sabores & Colorantes,BOG-QUI,94.3,kg,75630,0.0,7131922,0.329
2025-01-04,2025-01,CLI-014,Pan Pa' Ya,Panadería,PAN-007,Enzima xilanasa panadera,Panadería,TUN,28.6,kg,106812,0.0,3054823,0.333
2025-01-04,2025-01,CLI-011,Frigoríficos El Progreso,Cárnicos,CAR-009,Sal Refisal® curación,Cárnicos,MOS,35.4,kg,5618,0.0,198882,0.448
2025-01-04,2025-01,CLI-019,Centro Análisis ALF,Laboratorio,LAB-004,Agar Salmonella-Shigella,Laboratorio,ITA,104.2,500g,298597,0.0,31113809,0.328
