periodo,empresa,ventas_cop,margen_bruto_cop,ebitda_cop,cartera_cop,n_empleados,clientes_activos
2025-01-01,CIMPA,1426865233,970268358,193959926,1025759421,75,13
2025-01-01,Confía Control,249838195,179883500,39720406,166470151,22,7
2025-01-01,Vasanico,220683607,127996492,21659847,135235223,13,6
2025-01-01,CIMPA,1448642307,985076769,206210135,815728740,75,18
2025-01-01,Confía Control,262599993,189071995,44018991,198576815,22,6
2025-01-01,Vasanico,240269587,139356360,24364987,157838106,13,5
2025-03-01,CIMPA,1520722189,1034091089,194176856,1023651086,75,13
2025-03-01,Confía Control,293351118,211212805,48259343,162011695,22,9
2025-03-01,Vasanico,264786669,153576268,27345124,216497914,13,11
2025-04-01,CIMPA,1781749845,1211589895,265546407,1318513098,75,14
2025-04-01,Confía Control,324218247,233437138,54115830,235727805,22,6
2025-04-01,Vasanico,282251754,163706017,25926868,158910628,13,11
2025-05-01,CIMPA,1826990989,1242353873,266279236,1172409437,75,16
2025-05-01,Confía Control,357357867,257297664,62650158,286483596,22,11
2025-05-01,Vasanico,299779553,173872141,32613684,205341295,13,10
2025-05-01,CIMPA,1820281631,1237791509,239740273,1515701483,75,14
2025-05-01,Confía Control,328585506,236581564,56834488,182897871,22,10
2025-05-01,Vasanico,298131288,172916147,31371275,196606791,13,7
2025-06-01,CIMPA,1891965017,1286536212,287888699,1585663763,75,19
2025-06-01,Confía Control,340962267,245492832,55920617,210531485,22,10
2025-06-01,Vasanico,290990423,168774445,28989857,237396851,13,7
2025-07-01,CIMPA,1797452959,1222268012,254919675,1123310745,75,16
2025-07-01,Confía Control,318165742,229079334,49574354,247936541,22,6
2025-07-01,Vasanico,313973128,182104414,33574375,260949152,13,7
2025-08-01,CIMPA,1651326808,1122902229,219051292,956575813,75,12
2025-08-01,Confía Control,314793965,226651655,55026105,218795245,22,8
2025-08-01,Vasanico,271291391,157349007,28123097,197049603,13,11
2025-09-01,CIMPA,1901517113,1293031637,264525124,1065901105,75,21
2025-09-01,Confía Control,342348599,246490991,55970535,211347867,22,7
2025-09-01,Vasanico,318027917,184456192,34492275,188963401,13,8
2025-10-01,CIMPA,1866886583,1269482876,241254707,1250428367,75,15
2025-10-01,Confía Control,388713196,279873501,63107799,244114200,22,9
2025-10-01,Vasanico,333287210,193306582,31884738,186475706,13,11
2025-11-01,CIMPA,2263946042,1539483309,347127435,1699497479,75,18
2025-11-01,Confía Control,423697687,305062335,71349740,238988102,22,5
2025-11-01,Vasanico,340929524,197739124,30966629,199271117,13,8
2025-12-01,CIMPA,2521931508,1714913425,386847777,2131759754,75,17
2025-12-01,Confía Control,494188164,355815478,76432902,338863352,22,7
2025-12-01,Vasanico,422228215,244892365,39321264,315442555,13,5
2026-01-01,CIMPA,1442073840,980610211,208031360,1109403016,75,15
2026-01-01,Confía Control,309629320,222933110,49797631,179351579,22,7
2026-01-01,Vasanico,256459886,148746734,25189899,204932776,13,5
2026-02-01,CIMPA,1559284942,1060313761,219360887,1261537872,75,17
2026-02-01,Confía Control,301601121,217152807,47386854,244875213,22,5
2026-02-01,Vasanico,287439290,166714788,27445375,226740497,13,11
2026-03-01,CIMPA,1731576972,1177472341,248276240,1015347045,75,16
2026-03-01,Confía Control,367476618,264583165,56472945,219062022,22,7
2026-03-01,Vasanico,310119820,179869496,32841359,211228506,13,10
2026-04-01,CIMPA,1984515763,1349470719,288694376,1355148625,75,19
2026-04-01,Confía Control,367538349,264627611,60063783,212690998,22,8
2026-04-01,Vasanico,313080150,181586487,29950974,176385871,13,6
2026-05-01,CIMPA,1879210113,1277862877,281626338,1079382365,75,15
2026-05-01,Confía Control,353106260,254236507,59535493,288609941,22,11
2026-05-01,Vasanico,305239713,177039034,31042776,236740795,13,11
2026-06-01,CIMPA,1872255474,1273133722,264523785,1112691288,75,17
2026-06-01,Confía Control,382876963,275671413,61498338,297467629,22,9
2026-06-01,Vasanico,325590558,188842524,33478627,257924508,13,10
2026-07-01,CIMPA,1883731873,1280937674,285722857,1159248363,75,20
2026-07-01,Confía Control,350737711,252531152,64548175,258166095,22,5
2026-07-01,Vasanico,305250960,177045557,29847405,195942335,13,9
