despacho_id,fecha_pedido,fecha_entrega_prometida,fecha_entrega_real,dias_transito,cliente_id,cliente,sector,ciudad_destino,depto_destino,sede_origen,sede_nombre,estado,entregado_a_tiempo,valor_cop
DSP-8000,2026-08-22,2026-08-25,,3,CLI-010,Frigorífico Guadalupe,Cárnicos,Bogotá,Cundinamarca,ITA,Itagüí,En tránsito,,60959138
DSP-8001,2026-06-15,2026-06-17,2026-06-17,2,CLI-012,Bimbo Colombia,Panadería,Bogotá,Cundinamarca,MOS,CEDI Mosquera,Entregado,True,14735122
DSP-8002,2026-07-06,2026-07-09,2026-07-09,3,CLI-004,Gloria Colombia,Lácteos,Bogotá,Cundinamarca,BOG-AME,Bogotá · Américas,Entregado,True,61769712
DSP-8003,2026-05-30,2026-05-31,2026-05-31,1,CLI-003,Alpina S.A.,Lácteos,Bogotá,Cundinamarca,BOG-QUI,Bogotá · Químicos,Entregado,True,43375568
DSP-8004,2026-07-19,2026-07-20,2026-07-20,1,CLI-013,Noel S.A.S.,Panadería,Medellín,Antioquia,ITA,Itagüí,Entregado,True,69221049
DSP-8005,2026-07-30,2026-08-02,2026-08-02,3,CLI-002,Colanta Ltda.,Lácteos,Medellín,Antioquia,BOG-QUI,Bogotá · Químicos,Entregado,True,11328374
DSP-8006,2026-07-07,2026-07-10,2026-07-10,3,CLI-022,Avícola Los Llanos,Cárnicos,Villavicencio,Meta,ITA,Itagüí,Entregado,True,34067371
DSP-8007,2026-07-06,2026-07-07,2026-07-07,1,CLI-022,Avícola Los Llanos,Cárnicos,Villavicencio,Meta,TUN,Tunja,Entregado,True,47253323
DSP-8008,2026-08-05,2026-08-08,2026-08-08,3,CLI-014,Pan Pa' Ya,Panadería,Bogotá,Cundinamarca,SIB,CEDI Siberia,Entregado,True,38683085
DSP-8009,2026-07-22,2026-07-23,2026-07-27,5,CLI-003,Alpina S.A.,Lácteos,Bogotá,Cundinamarca,TUN,Tunja,Entregado,False,55081069
DSP-8010,2026-08-08,2026-08-11,2026-08-11,3,CLI-016,Bavaria S.A.,Sabores & Colorantes,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,60872366
DSP-8011,2026-08-06,2026-08-07,2026-08-07,1,CLI-009,Rica Rondo S.A.,Cárnicos,Bogotá,Cundinamarca,TUN,Tunja,Entregado,True,12124004
DSP-8012,2026-08-12,2026-08-15,2026-08-18,6,CLI-018,Laboratorios LABOFARMA,Laboratorio,Bogotá,Cundinamarca,ITA,Itagüí,Entregado,False,67201408
DSP-8013,2026-07-14,2026-07-16,2026-07-16,2,CLI-009,Rica Rondo S.A.,Cárnicos,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,37315915
DSP-8014,2026-06-29,2026-06-30,2026-06-30,1,CLI-007,La Carreta Alimentos,Cárnicos,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,65598389
DSP-8015,2026-05-25,2026-05-27,2026-05-27,2,CLI-010,Frigorífico Guadalupe,Cárnicos,Bogotá,Cundinamarca,BOG-AME,Bogotá · Américas,Entregado,True,57116887
DSP-8016,2026-07-02,2026-07-05,2026-07-05,3,CLI-009,Rica Rondo S.A.,Cárnicos,Bogotá,Cundinamarca,MOS,CEDI Mosquera,Entregado,True,25341875
DSP-8017,2026-08-17,2026-08-18,2026-08-18,1,CLI-010,Frigorífico Guadalupe,Cárnicos,Bogotá,Cundinamarca,BOG-AME,Bogotá · Américas,Entregado,True,13512354
DSP-8018,2026-07-15,2026-07-18,2026-07-20,5,CLI-008,Zenú S.A.S.,Cárnicos,Medellín,Antioquia,TUN,Tunja,Entregado,False,25711718
DSP-8019,2026-07-01,2026-07-04,2026-07-04,3,CLI-006,Procesadora Meta Lácteos,Lácteos,Villavicencio,Meta,VIL,Villavicencio,Entregado,True,7609830
DSP-8020,2026-06-14,2026-06-16,2026-06-16,2,CLI-002,Colanta Ltda.,Lácteos,Medellín,Antioquia,SIB,CEDI Siberia,Entregado,True,10586610
DSP-8021,2026-08-09,2026-08-10,2026-08-10,1,CLI-010,Frigorífico Guadalupe,Cárnicos,Bogotá,Cundinamarca,MOS,CEDI Mosquera,Entregado,True,31548334
DSP-8022,2026-07-30,2026-07-31,2026-07-31,1,CLI-007,La Carreta Alimentos,Cárnicos,Bogotá,Cundinamarca,MOS,CEDI Mosquera,Entregado,True,43450440
DSP-8023,2026-05-31,2026-06-02,2026-06-06,6,CLI-009,Rica Rondo S.A.,Cárnicos,Bogotá,Cundinamarca,SIB,CEDI Siberia,Entregado,False,51081531
DSP-8024,2026-07-18,2026-07-21,2026-07-21,3,CLI-019,Centro Análisis ALF,Laboratorio,Medellín,Antioquia,MOS,CEDI Mosquera,Entregado,True,60859166
DSP-8025,2026-06-30,2026-07-03,2026-07-03,3,CLI-018,Laboratorios LABOFARMA,Laboratorio,Bogotá,Cundinamarca,TUN,Tunja,Entregado,True,21117188
DSP-8026,2026-08-22,2026-08-23,,1,CLI-017,Frupulpas S.A.S.,Sabores & Colorantes,Bogotá,Cundinamarca,BOG-AME,Bogotá · Américas,En tránsito,,59627685
DSP-8027,2026-08-05,2026-08-08,2026-08-08,3,CLI-007,La Carreta Alimentos,Cárnicos,Bogotá,Cundinamarca,BOG-AME,Bogotá · Américas,Entregado,True,34835439
DSP-8028,2026-07-13,2026-07-15,2026-07-15,2,CLI-010,Frigorífico Guadalupe,Cárnicos,Bogotá,Cundinamarca,TUN,Tunja,Entregado,True,47790615
DSP-8029,2026-07-02,2026-07-05,2026-07-05,3,CLI-020,Sodexo Colombia,Aseo & Desinfección,Bogotá,Cundinamarca,BOG-QUI,Bogotá · Químicos,Entregado,True,83659102
DSP-8030,2026-05-25,2026-05-27,2026-05-27,2,CLI-011,Frigoríficos El Progreso,Cárnicos,Villavicencio,Meta,ITA,Itagüí,Entregado,True,70752252
DSP-8031,2026-07-20,2026-07-22,2026-07-22,2,CLI-009,Rica Rondo S.A.,Cárnicos,Bogotá,Cundinamarca,SIB,CEDI Siberia,Entregado,True,23150395
DSP-8032,2026-08-06,2026-08-07,2026-08-07,1,CLI-001,Alquería S.A.,Lácteos,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,52561793
DSP-8033,2026-06-09,2026-06-11,2026-06-11,2,CLI-001,Alquería S.A.,Lácteos,Bogotá,Cundinamarca,ITA,Itagüí,Entregado,True,24569019
DSP-8034,2026-06-08,2026-06-11,2026-06-11,3,CLI-006,Procesadora Meta Lácteos,Lácteos,Villavicencio,Meta,VIL,Villavicencio,Entregado,True,27938992
DSP-8035,2026-06-22,2026-06-25,2026-06-25,3,CLI-022,Avícola Los Llanos,Cárnicos,Villavicencio,Meta,TUN,Tunja,Entregado,True,27921507
DSP-8036,2026-06-21,2026-06-22,2026-06-22,1,CLI-013,Noel S.A.S.,Panadería,Medellín,Antioquia,ITA,Itagüí,Entregado,True,26038292
DSP-8037,2026-07-29,2026-08-01,2026-08-01,3,CLI-012,Bimbo Colombia,Panadería,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,65493073
DSP-8038,2026-06-01,2026-06-02,2026-06-02,1,CLI-004,Gloria Colombia,Lácteos,Bogotá,Cundinamarca,BOG-AME,Bogotá · Américas,Entregado,True,63373758
DSP-8039,2026-08-10,2026-08-13,2026-08-13,3,CLI-019,Centro Análisis ALF,Laboratorio,Medellín,Antioquia,ITA,Itagüí,Entregado,True,51887125
DSP-8040,2026-07-08,2026-07-11,2026-07-11,3,CLI-004,Gloria Colombia,Lácteos,Bogotá,Cundinamarca,SIB,CEDI Siberia,Entregado,True,22563493
DSP-8041,2026-07-12,2026-07-13,2026-07-13,1,CLI-003,Alpina S.A.,Lácteos,Bogotá,Cundinamarca,SIB,CEDI Siberia,Entregado,True,78946812
DSP-8042,2026-06-14,2026-06-17,2026-06-17,3,CLI-008,Zenú S.A.S.,Cárnicos,Medellín,Antioquia,MOS,CEDI Mosquera,Entregado,True,71941653
DSP-8043,2026-07-05,2026-07-06,2026-07-06,1,CLI-010,Frigorífico Guadalupe,Cárnicos,Bogotá,Cundinamarca,SIB,CEDI Siberia,Entregado,True,43103472
DSP-8044,2026-07-18,2026-07-19,2026-07-19,1,CLI-006,Procesadora Meta Lácteos,Lácteos,Villavicencio,Meta,ITA,Itagüí,Entregado,True,64689777
DSP-8045,2026-06-26,2026-06-28,2026-06-28,2,CLI-010,Frigorífico Guadalupe,Cárnicos,Bogotá,Cundinamarca,VIL,Villavicencio,Entregado,True,54414715
DSP-8046,2026-06-28,2026-07-01,2026-07-01,3,CLI-006,Procesadora Meta Lácteos,Lácteos,Villavicencio,Meta,SIB,CEDI Siberia,Entregado,True,41309697
DSP-8047,2026-07-31,2026-08-01,2026-08-01,1,CLI-022,Avícola Los Llanos,Cárnicos,Villavicencio,Meta,BOG-AME,Bogotá · Américas,Entregado,True,34456199
DSP-8048,2026-06-18,2026-06-19,2026-06-19,1,CLI-013,Noel S.A.S.,Panadería,Medellín,Antioquia,ITA,Itagüí,Entregado,True,79765699
DSP-8049,2026-07-28,2026-07-29,2026-07-29,1,CLI-008,Zenú S.A.S.,Cárnicos,Medellín,Antioquia,TUN,Tunja,Entregado,True,79408986
DSP-8050,2026-08-10,2026-08-13,2026-08-13,3,CLI-011,Frigoríficos El Progreso,Cárnicos,Villavicencio,Meta,VIL,Villavicencio,Entregado,True,29277249
DSP-8051,2026-08-13,2026-08-15,2026-08-15,2,CLI-015,Postobón S.A.,Sabores & Colorantes,Bogotá,Cundinamarca,BOG-AME,Bogotá · Américas,Entregado,True,20388582
DSP-8052,2026-07-17,2026-07-20,2026-07-20,3,CLI-016,Bavaria S.A.,Sabores & Colorantes,Bogotá,Cundinamarca,TUN,Tunja,Entregado,True,36487909
DSP-8053,2026-07-26,2026-07-27,2026-07-27,1,CLI-013,Noel S.A.S.,Panadería,Medellín,Antioquia,VIL,Villavicencio,Entregado,True,58100636
DSP-8054,2026-06-16,2026-06-17,2026-06-17,1,CLI-001,Alquería S.A.,Lácteos,Bogotá,Cundinamarca,ITA,Itagüí,Entregado,True,12190166
DSP-8055,2026-06-29,2026-07-02,2026-07-02,3,CLI-008,Zenú S.A.S.,Cárnicos,Medellín,Antioquia,SIB,CEDI Siberia,Entregado,True,38352130
DSP-8056,2026-06-19,2026-06-21,2026-06-21,2,CLI-001,Alquería S.A.,Lácteos,Bogotá,Cundinamarca,SIB,CEDI Siberia,Entregado,True,40978167
DSP-8057,2026-06-28,2026-06-29,2026-06-29,1,CLI-003,Alpina S.A.,Lácteos,Bogotá,Cundinamarca,BOG-QUI,Bogotá · Químicos,Entregado,True,51662349
DSP-8058,2026-06-08,2026-06-11,2026-06-11,3,CLI-001,Alquería S.A.,Lácteos,Bogotá,Cundinamarca,BOG-QUI,Bogotá · Químicos,Entregado,True,9066367
