sede_id,sede_nombre,ciudad,producto_id,producto,categoria,unidad,proveedor,stock_actual,stock_minimo,stock_maximo,precio_costo,valor_inventario,dias_cobertura,estado
BOG-AME,Bogotá · Américas,Bogotá,LAC-001,Cuajo Chymostar® líquido,Lácteos,litro,Chr. Hansen,61.3,40,235.8,95000,5825777,46.0,Normal
BOG-AME,Bogotá · Américas,Bogotá,LAC-002,Cuajo Marschall® pastilla,Lácteos,sobre,Chr. Hansen,1012.6,200,865.4,12000,12151160,151.9,Alto
BOG-AME,Bogotá · Américas,Bogotá,LAC-003,Choozit® MA 4001,Lácteos,dosis,Danisco,80.2,20,168.4,185000,14840255,80.2,Alto
BOG-AME,Bogotá · Américas,Bogotá,LAC-004,Choozit® MM 100,Lácteos,dosis,Danisco,102.2,20,168.0,175000,17893311,102.2,Alto
BOG-AME,Bogotá · Américas,Bogotá,LAC-005,Yomix® 883 (yogurt),Lácteos,dosis,Danisco,120.7,25,139.9,165000,19916611,120.7,Alto
BOG-AME,Bogotá · Américas,Bogotá,LAC-006,Yomix® Prime 800,Lácteos,dosis,Danisco,140.7,25,115.5,172000,24194002,140.7,Alto
BOG-AME,Bogotá · Américas,Bogotá,LAC-007,Lactogel® FX 7720,Lácteos,kg,Danisco,280.6,60,443.3,88000,24690026,140.3,Alto
BOG-AME,Bogotá · Américas,Bogotá,LAC-008,Cremodan® SE 709-2,Lácteos,kg,Danisco,132.1,50,346.1,92000,12151887,79.3,Normal
BOG-AME,Bogotá · Américas,Bogotá,LAC-009,Nisaplin® (Nisin A),Lácteos,kg,Danisco,18.0,8,65.9,380000,6825202,18.0,Normal
BOG-AME,Bogotá · Américas,Bogotá,LAC-010,Cloruro de calcio alimentario,Lácteos,kg,Brenntag,81.5,200,1519.9,8500,692709,12.2,Crítico
BOG-AME,Bogotá · Américas,Bogotá,CAR-001,Tripolifosfato sódico STPP,Cárnicos,kg,BASF,400.4,300,2708.6,12000,4804886,40.0,Normal
BOG-AME,Bogotá · Américas,Bogotá,CAR-002,Eritorbato de sodio,Cárnicos,kg,Brenntag,1037.9,200,1536.3,14500,15049133,155.7,Alto
BOG-AME,Bogotá · Américas,Bogotá,CAR-003,Carragenina Iota cárnicos,Cárnicos,kg,Kerry Group,244.2,80,646.6,41000,10013365,91.6,Alto
BOG-AME,Bogotá · Américas,Bogotá,CAR-004,Condimento chorizo especial,Cárnicos,kg,Givaudan,143.0,50,351.3,68000,9722270,85.8,Normal
BOG-AME,Bogotá · Américas,Bogotá,CAR-005,Condimento mortadela premium,Cárnicos,kg,IFF,236.7,50,210.4,72000,17045532,142.0,Alto
BOG-AME,Bogotá · Américas,Bogotá,CAR-006,Proteína de soya texturizada,Cárnicos,kg,Brenntag,1773.9,400,3895.1,9500,16852432,133.0,Alto
BOG-AME,Bogotá · Américas,Bogotá,CAR-007,Proteína aislada de soya 90%,Cárnicos,kg,Brenntag,792.0,150,1408.8,22000,17424932,158.4,Alto
