factura_id,cliente_id,cliente,sector,ciudad,credito_dias,fecha_factura,fecha_vencimiento,dias_mora,valor_cop,estado
FAC-1000,CLI-001,Alquería S.A.,Lácteos,Bogotá,60,2026-01-19,2026-03-20,155,152291765,Vencida +90
FAC-1001,CLI-001,Alquería S.A.,Lácteos,Bogotá,60,2026-02-12,2026-04-13,131,16604620,Vencida +90
FAC-1002,CLI-001,Alquería S.A.,Lácteos,Bogotá,60,2026-02-23,2026-04-24,120,162712020,Vencida +90
FAC-1003,CLI-001,Alquería S.A.,Lácteos,Bogotá,60,2026-03-05,2026-05-04,110,153107383,Vencida +90
FAC-1004,CLI-002,Colanta Ltda.,Lácteos,Medellín,45,2025-12-29,2026-02-12,191,171043878,Vencida +90
FAC-1005,CLI-002,Colanta Ltda.,Lácteos,Medellín,45,2025-12-11,2026-01-25,209,95184690,Vencida +90
FAC-1006,CLI-002,Colanta Ltda.,Lácteos,Medellín,45,2026-01-12,2026-02-26,177,27269629,Vencida +90
FAC-1007,CLI-002,Colanta Ltda.,Lácteos,Medellín,45,2026-03-17,2026-05-01,113,167109596,Vencida +90
FAC-1008,CLI-002,Colanta Ltda.,Lácteos,Medellín,45,2026-03-12,2026-04-26,118,16870295,Vencida +90
FAC-1009,CLI-002,Colanta Ltda.,Lácteos,Medellín,45,2026-03-23,2026-05-07,107,10666504,Vencida +90
FAC-1010,CLI-002,Colanta Ltda.,Lácteos,Medellín,45,2026-02-10,2026-03-27,148,36163931,Vencida +90
FAC-1011,CLI-002,Colanta Ltda.,Lácteos,Medellín,45,2025-12-17,2026-01-31,203,13946374,Vencida +90
FAC-1012,CLI-002,Colanta Ltda.,Lácteos,Medellín,45,2026-03-18,2026-05-02,112,96892937,Vencida +90
FAC-1013,CLI-002,Colanta Ltda.,Lácteos,Medellín,45,2026-03-07,2026-04-21,123,87975298,Vencida +90
FAC-1014,CLI-003,Alpina S.A.,Lácteos,Bogotá,60,2026-01-04,2026-03-05,170,128590776,Vencida +90
FAC-1015,CLI-003,Alpina S.A.,Lácteos,Bogotá,60,2026-03-29,2026-05-28,86,106589707,Vencida 61-90
FAC-1016,CLI-003,Alpina S.A.,Lácteos,Bogotá,60,2026-02-20,2026-04-21,123,102860426,Vencida +90
FAC-1017,CLI-003,Alpina S.A.,Lácteos,Bogotá,60,2026-01-13,2026-03-14,161,68716420,Vencida +90
FAC-1018,CLI-003,Alpina S.A.,Lácteos,Bogotá,60,2026-01-18,2026-03-19,156,137945924,Vencida +90
FAC-1019,CLI-004,Gloria Colombia,Lácteos,Bogotá,60,2026-03-13,2026-05-12,102,103328705,Vencida +90
FAC-1020,CLI-004,Gloria Colombia,Lácteos,Bogotá,60,2026-02-07,2026-04-08,136,162900231,Vencida +90
